# LutGenerate 2.5 - 01/27/2014 15:48:07 - #  Display ID: EA234WMi_35101888TW
# Ambient = 0.10   Max. Luminance = 228.883   Luminance Ratio = 317
#  lumResponse vers. 2.1 - 01/27/2014 15:14:33
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=i1DisplayPro
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
222:  222  221  222         138.271    138.040
223:  223  222  223         140.378    140.135
224:  224  223  224         142.514    142.399
225:  225  224  225         144.680    144.524
226:  225  226  225         146.876    146.987
227:  226  227  226         149.102    149.044
228:  227  228  227         151.360    151.488
229:  228  229  228         153.648    153.795
230:  229  230  229         155.968    156.177
231:  230  231  230         158.320    158.516
232:  231  232  231         160.705    161.004
233:  232  233  232         163.123    163.459
234:  233  234  233         165.574    165.620
235:  235  235  235         168.059    167.985
236:  236  236  235         170.578    170.475
237:  237  237  236         173.132    173.188
238:  237  238  238         175.722    175.830
239:  238  239  238         178.347    178.721
240:  240  239  240         181.008    180.476
241:  241  240  241         183.705    183.828
242:  241  241  241         186.440    186.405
243:  241  242  241         189.213    189.638
244:  243  242  243         192.024    191.887
245:  243  243  242         194.873    194.759
246:  244  244  244         197.762    197.647
247:  244  245  245         200.690    200.514
248:  246  246  245         203.658    203.719
249:  248  247  248         206.668    206.670
250:  249  249  248         209.718    209.767
251:  251  250  250         212.810    212.677
252:  252  253  252         215.945    215.982
253:  253  254  253         219.123    219.199
254:  255  254  254         222.345    221.363
255:  254  255  254         225.610    227.458
256:  255  255  254         228.883    228.981
