# LutGenerate 2.4 - 10/28/09 17:25:15 - #  Display ID: L200ME_810KCGW4Y151
# Ambient = 0.15   Max. Luminance = 254.620   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 10/28/09 17:22:18
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.4% G=67.1% B=10.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
244:  233  234  233         212.828    212.600
245:  236  236  235         216.053    216.610
246:  236  237  236         219.323    219.160
247:  240  239  239         222.639    223.040
248:  240  241  240         226.001    225.620
249:  244  243  243         229.412    229.630
250:  243  244  243         232.870    232.320
251:  246  247  247         236.377    236.380
252:  249  249  248         239.933    240.510
253:  249  250  249         243.539    243.050
254:  250  251  250         247.196    246.670
255:  251  252  252         250.905    251.120
256:  255  255  255         254.620    254.730
